PlayerName,Team,fg,fga,xpt,fpts
Stephen Gostkowski,NE,27.6,31.1,43.6,126.4
Mason Crosby,GB,25.7,30.5,44.4,121.4
Steven Hauschka,SEA,26.5,30.2,40.6,120.2
Justin Tucker,BAL,28.3,32.8,35.1,120
Graham Gano,CAR,25.6,31,42,119
Chris Boswell,PIT,26,29.7,39.3,117.4
Dan Bailey,DAL,25.7,29.2,39.7,116.9
Chandler Catanzaro,ARI,24.8,28.8,42.1,116.5
Josh Brown,NYG,25.6,29,39.5,116.3
Blair Walsh,MIN,26.7,31.7,34,114.2
Brandon McManus,DEN,25.6,30.1,35.9,112.7
Adam Vinatieri,IND,24.2,27.8,38.3,110.8
Cairo Santos,KC,23.9,29.5,38.7,110.3
Mike Nugent,CIN,23.4,28.1,40.1,110.2
Robbie Gould,CHI,25.1,29.9,34.3,109.7
Dan Carpenter,BUF,24,28.6,34.3,106.4
Matt Prater,DET,24.1,28,34.1,106.4
Nick Novak,HOU,23.5,27.8,35.2,105.6
Matt Bryant,ATL,22.8,28,35.6,104.1
Nick Folk,NYJ,23.3,28,33.9,103.8
Dustin Hopkins,WAS,22.8,26.4,34.9,103.3
Sebastian Janikowski,OAK,22.2,27.1,36.3,103
Jason Myers,JAC,22.7,27.6,33.1,101.2
Roberto Aguayo,TB,21.6,26.3,34.9,99.6
Josh Lambo,SD,21.6,26.7,34.5,99.3
Phil Dawson,SF,22.8,27,28.7,97
Greg Zuerlein,LA,21.7,28.5,31.1,96.2
Andrew Franks,MIA,20.6,26,32.7,94.5
Travis Coons,CLE,22.1,26.2,27.3,93.6
Caleb Sturgis,PHI,19.9,25.5,31.4,91.1
Cody Parkey,PHI,18.5,22.3,34.3,89.8
Ryan Succop,TEN,19.1,23.4,30.4,87.6
Kai Forbath,NO,17.2,21.8,33.2,84.8
Shaun Suisham,FA,17,20,21,72
Connor Barth,NO,4.8,5.6,21.8,36
Tom Obarski,NYG,0,0,0,0
